"","date","number.of.cases","lower80","upper80","lower95","upper95"
"1",2020-03-09,280,NA,NA,NA,NA
"2",2020-03-10,373,NA,NA,NA,NA
"3",2020-03-11,456,NA,NA,NA,NA
"4",2020-03-12,595,NA,NA,NA,NA
"5",2020-03-13,797,NA,NA,NA,NA
"6",2020-03-14,1140,NA,NA,NA,NA
"7",2020-03-15,1391,NA,NA,NA,NA
"8",2020-03-16,1543,NA,NA,NA,NA
"9",2020-03-17,1950,NA,NA,NA,NA
"10",2020-03-18,2626,NA,NA,NA,NA
"11",2020-03-19,3269,NA,NA,NA,NA
"12",2020-03-20,3983,NA,NA,NA,NA
"13",2020-03-21,5018,NA,NA,NA,NA
"14",2020-03-22,5683,NA,NA,NA,NA
"15",2020-03-23,6650,NA,NA,NA,NA
"16",2020-03-24,8077,NA,NA,NA,NA
"17",2020-03-25,9529,NA,NA,NA,NA
"18",2020-03-26,11658,NA,NA,NA,NA
"19",2020-03-27,14543,NA,NA,NA,NA
"20",2020-03-28,17089,NA,NA,NA,NA
"21",2020-03-29,19522,NA,NA,NA,NA
"22",2020-03-30,22141,NA,NA,NA,NA
"23",2020-03-31,25150,NA,NA,NA,NA
"24",2020-04-01,29474,NA,NA,NA,NA
"25",2020-04-02,33718,NA,NA,NA,NA
"26",2020-04-03,38168,NA,NA,NA,NA
"27",2020-04-04,42618,42104.4091799121,43131.5908200879,41832.5306227027,43403.4693772973
"28",2020-04-05,47068,45919.5760136636,48216.4239863364,45311.6370781189,48824.3629218811
"29",2020-04-06,51518,49596.3191142388,53439.6808857612,48579.0427023509,54456.9572976491
"30",2020-04-07,55968,53154.9472251028,58781.0527748972,51665.8070382475,60270.1929617525
"31",2020-04-08,60418,56609.1085370779,64226.8914629221,54592.803192428,66243.196807572
"32",2020-04-09,64868,59968.6558323028,69767.3441676972,57375.0996948357,72360.9003051643
"33",2020-04-10,69318,63241.1114649849,75394.8885350151,60024.2009934555,78611.7990065445
"34",2020-04-11,73768,66432.4558335714,81103.5441664286,62549.2533184388,84986.7466815612
"35",2020-04-12,78218,69547.5890416666,86888.4109583334,64957.7507315491,91478.2492684509
"36",2020-04-13,82668,72590.6204182712,92745.3795817288,67255.9779091571,98080.0220908429
"37",2020-04-14,87118,75565.0601827003,98670.9398172997,69449.3032684379,104786.696731562
"38",2020-04-15,91568,78473.9519318485,104662.048068151,71542.3815891581,111593.618410842
"39",2020-04-16,96018,81319.9674969084,110716.032503092,73539.2990845072,118496.700915493
"40",2020-04-17,100468,84105.4768621788,116830.523137821,75443.6803326875,125492.319667312
"41",2020-04-18,104918,86832.6009777664,123003.399022234,77258.7690469711,132577.230953029
"42",2020-04-19,109368,89503.2524910101,129232.74750899,78987.4903690382,139748.509630962
"43",2020-04-20,113818,92119.1677294786,135516.832270521,80632.4997827499,147003.50021725
"44",2020-04-21,118268,94681.9322103222,141854.067789678,82196.2221273368,154339.777872663
"45",2020-04-22,122718,97193.0012677369,148242.998732263,83680.8831443809,161755.116855619
"46",2020-04-23,127168,99653.7169369534,154682.283063047,85088.5352996504,169247.46470035
